key,team_name
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022956,Valour FC
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
246185,FC Edmonton
1022954,Inter Toronto FC
1022956,Valour FC
246185,FC Edmonton
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022956,Valour FC
1022954,Inter Toronto FC
1022956,Valour FC
1022954,Inter Toronto FC
1022954,Inter Toronto FC
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
88731,HIFK
88731,HIFK
6605,Honka
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
88731,HIFK
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
6605,Honka
